pt,de
oh,Oh
nossa,Wow
certeza,Sicherheit
diz,sagt
nome,Name
às,beim
outro,andere
todo,alle
dar,geben
tentar,Versuchen
sair,aussteigen
têm,haben
quanto,wie viel
pensar,Überlegen
mal,Schlecht
volta,Rückkehr
aconteceu,Es passierte
consigo,ich kann
três,drei
mundo,Welt
menos,nicht weniger
amigo,Freund
contigo,mit dir
embora,obwohl
numa,im
passa,verfliegt
porquê,Warum
problema,Problem
carro,Auto
lado,Seite
vezes,mal
nas,Bei der
fez,tat
seus,ihr
novo,Neu
merda,Scheisse
parte,Teil
todas,alle
aos,zu
obrigada,Vielen Dank
primeiro,zuerst
será,es wird sein
lugar,Platz
voltar,Komm zurück
pensei,habe gedacht
algum,etwas
achas,Überlegen
vem,kommt
dentro,Innerhalb
família,Familie
ali,Dort
razão,Grund
aquele,Das
dias,Tage
fui,ging
anda,Gehen
querida,sehr geehrter
sabia,ich wusste
duas,zwei
ideia,Idee
hora,Stunde
si,si
polícia,Polizei
podem,kann
forma,bilden
entre,zwischen
caso,Fall
gosto,Geschmack
atrás,hinter
homens,Männer
devia,sollte
aquilo,Das
amor,Liebe
pessoa,Person
ok,OK
podia,könnten
uns,etwas
desde,schon seit
somos,sind
cabeça,Kopf
horas,Std
deles,ihr
fica,bleibe
ajudar,helfen
tarde,Nachmittag
momento,Zeit
tal,eine solche
tenha,hat
pronto,bereit
fiz,gemacht
foram,wurden
ia,würde
cidade,Stadt
amigos,Freunde
encontrar,Treffen
frente,Vorderseite
sido,gewesen
passar,bestehen
deixar,verlassen
vi,sah
nenhum,keiner
gente,Menschen
durante,während
seria,wäre
outros,Andere
entrar,Einloggen
chegar,ankommen
nova,Neu
trabalhar,arbeiten
quase,fast
desculpe,entschuldigen Sie mich
amanhã,Morgen
tanto,so viel
fosse,war
história,Geschichte
irmão,Bruder
cima,oben
contra,gegen
morrer,sterben
maneira,Weg
suas,Ihre
enquanto,Während
alguns,etwas
ajuda,Hilfe
precisa,brauchen
morto,tot
primeira,zuerst
porta,Tür
minhas,meine
medo,Angst
morte,Tod
aquela,Das
óptimo,Optimum
caminho,Weg
vir,Komm
feliz,glücklich
sinto,ich
minutos,Protokoll
ouvir,hören
desta,Dies
tive,ich hatte
neste,in diesem
matar,töten
cada,jeder
estes,diese
acontecer,passieren
espero,ich erwarte
ano,Jahr
rapaz,Junge
precisamos,Wir brauchen
for,ist
causa,Ursache
feito,erledigt
sorte,Glück
lamento,tut mir leid
filha,Tochter
acha,Überlegen
teus,Ihre
levar,mitnehmen
conta,Konto
estas,diese
arma,Waffe
pessoal,Leute
quarto,Zimmer
olhos,Augen
senhora,Dame
adeus,Auf Wiedersehen
cara,Kerl
disto,davon
algumas,etwas
juntos,zusammen
difícil,schwer
última,letzte
única,nur
manhã,Morgen
importante,wichtig
poder,Leistung
mãos,Hände
ei,Hallo
água,Wasser
começar,Start
faço,ich mache
perto,schließen
cuidado,Vorsichtig
sangue,Blut
nossos,unser
semana,Woche
mesma,gleich
usar,verwenden
significa,meint
acredito,Ich glaube
querem,Sie wollen
cinco,fünf
acabou,beendet
problemas,Probleme
corpo,Körper
altura,Höhe
disseste,sagte
nisso,dass
chefe,Chef
jogo,Spiel
guerra,Krieg
fala,spricht
procura,Nachfrage
dr.,DR.
sabemos,wir wissen
fizeste,tat
ouve,hört man
realmente,Ja wirklich
terra,Erde
havia,es gab
ontem,gestern
umas,etwas
deixa-me,Lass mich
dólares,Dollar
comer,Essen
dormir,schlafen
dá,gibt
escola,Schule
logo,demnächst
querido,sehr geehrter
sabem,kennt
fim,Ende
deste,Dies
eram,Sie sind
pára,zum
agente,Agent
equipa,Mannschaft
rapariga,Mädchen
marido,Mann
calma,Ruhe
coração,Herz
segurança,Sicherheit
viver,Leben
estado,Zustand
parar,halt
teve,hätten
segundo,zweite
muitas,viele
quatro,vier
mão,Hand
baixo,niedrig
maior,größer
meio,meint
meses,Monate
mau,Schlecht
vê,sehen
ouvi,Ich habe gehört
andar,Fußboden
rápido,schnell
número,Nummer
vejo,Uhr
mulheres,Frauen
morreu,ist gestorben
nenhuma,keiner
acordo,aufwachen
festa,Party
fazes,Sie machen
capitão,Kapitän
raio,Blitz
pais,Eltern
suficiente,genug
poderia,könnten
sra.,Mme.
crianças,Kinder
estavam,Sie sind
força,Macht
muitos,Viele
nesta,in diesem
presidente,Präsident
buscar,Suche
filhos,Kinder
perder,verlieren
esperar,warten
viu,sah
irmã,Schwester
chega,kommt
possível,möglich
devias,Du solltest
sai,Blätter
acabar,Ende
rapazes,Jungen
precisas,genau
elas,Sie
contar,sagen
idiota,Dummkopf
olhar,aussehen
vossa,deine
teria,es hätte
foste,wast
estavas,wast
pena,Feder
mil,tausend
longe,weit
faça,Messer
penso,Ich denke
tivesse,hätten
tuas,Ihre
pedir,Fragen
estranho,seltsam
importa,es ist wichtig
fácil,einfach
muita,viele
veio,kam
brincar,abspielen
bebé,Baby
plano,planen
devo,ich
prazer,Vergnügen
velho,alt
conseguir,erhalten
passado,Vergangenheit
tomar,nehmen
além,darüber hinaus
jantar,Abendessen
dá-me,Gib mir
depressa,schnell
pergunta,Frage
tirar,nehmen
pequeno,klein
descobrir,entdecken
sala,Wohnzimmer
ah,Ah
telefone,Telefon
trás,zurück
seis,sechs
culpa,Fehler
vos,Sie
exactamente,genau
possa,wahrscheinlich
deixa,Stichwort
errado,falsch
vivo,Leben
menina,Mädchen
john,John
casamento,Ehe
outras,Andere
espere,abwarten
pensa,Überlegen
jack,Jack
nossas,unser
correr,Lauf
mudar,wechseln
diga,Sag es
paz,Frieden
sentir,spüren
cama,Bett
gostava,ich mochte
sozinho,allein
pelos,durch
comida,Lebensmittel
sequer,sogar
falta,Mangel
ficou,blieb
conheço,ich weiß
gosta,mögen
passou,weitergegeben
bastante,ganz
deu,Er gab
provavelmente,höchstwahrscheinlich
palavra,Wort
demasiado,zu
diferente,anders
essas,diese
armas,Bewaffnung
digo,ich sage
licença,Lizenz
demais,zu viel
pagar,Zahlen
médico,Arzt
seguir,Folgen
semanas,Wochen
consegues,können Sie
dizem,sagen
matou,getötet
único,Single
acreditar,glauben
local,Platz
fazem,machen
pior,schlechter
próprio,besitzen
continua,Fortsetzung folgt
vosso,Ihre
consegue,kann
fico,Ich bekomme
diz-me,Sag mir
país,Eltern
gostaria,würde
forte,stark
partir,verlassen
prisão,Gefängnis
próxima,Nächster
especial,Besondere
esteja,ist
livro,Buch
oportunidade,Gelegenheit
viste,du sahst
rei,König
chegou,ist gekommen
esses,Jene
continuar,Fortsetzen
resto,sich ausruhen
ar,Luft
estive,Ich bin gewesen
hospital,Krankenhaus
sítio,Seite? ˅
fazê-lo,Tu es
raios,Strahlen
ligar,anmachen
porra,cum
minuto,Minute
irá,werden
sentido,Sinn
atenção,Warnung
vim,ich kam
quis,wollte
sam,Sam
queremos,wir wollen
direito,Recht
café,Kaffee
venha,Komm schon
visto,Visa
criança,Kind
luz,Licht
filme,Film
música,Musik-
portanto,deshalb
haver,Sein
esteve,war
aqueles,jene
pôr,pro
querer,wollen
sexo,Sex
fogo,Feuer
connosco,uns
beber,trinken
toma,nimmt
mr,Herr
houve,dort war
tratar,Zurecht kommen
pequena,wenig
ganhar,Sieg
ponto,Ergebnis
milhões,Millionen
manter,behalten
precisar,brauchen
rua,Straße
olhe,aussehen
pé,Fuß
fazemos,wir tun
encontrei,fand es
miúda,Mädchen
existe,existiert
arranjar,erhalten
dez,zehn
último,letzte
assassino,Mörder
miúdo,Kind
tinhas,Sie hatten
estávamos,wir waren
cedo,früh
vês,"Sie sehen,"
boca,Mund
boas,gut
acontece,es passiert
jovem,jung
preocupes,Sorge
comprar,Kauf
situação,Situation
esposa,Ehefrau
sistema,System
devem,sollte
jogar,abspielen
natal,Weihnachten
capaz,imstande
certa,sicher
michael,michael
amiga,Freund
seguro,sicher
questão,Frage
relação,Beziehung
perguntas,Fragen
encontro,Treffen
sob,unter
cão,Hund
quiseres,wollen
negócio,Unternehmen
quiser,wollen
nisto,hierauf
sinal,Signal
linda,wunderschönen
facto,"Fakt, dass"
mensagem,Botschaft
próximo,Nächster
apanhar,nehmen
adoro,Liebe
crime,Kriminalität
banho,Dusche
própria,besitzen
deves,Muss
grandes,grosse
chamada,Anruf
finalmente,schließlich
novamente,nochmal
futuro,Zukunft
começou,gestartet
perguntar,Fragen
notícias,Nachrichten
acabei,ich bin fertig
fique,bleibe
ambos,beide
lhes,Sie
chamar,anrufen
entendo,ich verstehe
cabelo,Haar
entra,gehört in
grupo,Gruppe
doutor,Arzt
salvar,speichern
livre,kostenlos
viagem,Reise
vontade,werden
sozinha,allein
conversa,Konversation
tipos,Arten
fugir,weglaufen
palavras,Wörter
consegui,Ich habe es
tinham,Sie hatten
devíamos,sollte
lista,Liste
gostas,mögen
lutar,Kampf
escritório,Büro
peço,Ich frage
final,Finale
procurar,Suchen nach
deixou,links
alto,hoch
interessa,Interesse
bonito,ziemlich
chão,Fußboden
campo,Feld
perfeito,Perfekt
tio,Onkel
estiver,ist
pelas,durch
dito,sagte
respeito,Respekt
completamente,vollständig
deveria,sollte
vista,Aussicht
charlie,Charlie
breve,kurz
melhores,Beste
á,Das
bonita,wunderschönen
normal,normal
devemos,wir müssen
fiquei,blieb
mortos,tot
faria,machen würden
tom,Ton
mesa,Tabelle
preso,stecken
simples,einfach
iria,würde gehen
fixe,cool
emprego,Job
achei,ich fand
faças,tun
chama,Flamme
linha,Linie
dizes,sagen
real,echt
nave,Kirchenschiff
lembras-te,merken
assunto,Betreff
vale,Senke
cala-te,"halte den Mund, halt den Rand, Halt die Klappe"
ataque,Attacke
pensava,habe gedacht
frank,frank
ai,Dort
graças,Vielen Dank
escolha,Wahl
ordem,Bestellung
viva,am Leben
fundo,Unterseite
terá,werde haben
doente,krank
acidente,Unfall
má,Schlecht
the,das
modo,Modus
provas,Beweise
resposta,Antworten
bocado,Bit
papá,Papa
avião,Flugzeug
deixe-me,Lass mich
vindo,Kommen
após,nach dem
erro,Fehler
acredita,glaubt
miúdos,Kinder
verdadeiro,wahr
jesus,Jesus
idade,Alter
fizeram,gemacht
fantástico,Fantastisch
pare,Stop
morta,tot
leva,nimmt
percebo,ich verstehe
saiu,Exited
pensas,Überlegen
advogado,Anwalt
conhece,weiß
espaço,Raum
estivesse,war
fazia,war
serviço,Bedienung
missão,Mission
ler,lesen
louco,Verrückt
bons,Gut
conhecer,wissen
nele,in ihm
lindo,ziemlich
informação,Information
abrir,Öffnen
mente,Verstand
mike,Mike
perceber,wahrnehmen
amo-te,ich liebe dich
programa,Programm
veja,Aussehen
sol,Sonne
fomos,wir
simplesmente,einfach
caixa,Kassierer
sete,Sieben
senhores,Herren
hotel,Hotel
nessa,dass
gostar,mögen
incrível,unglaublich
puta,Nutte
amo,Meister
vai-te,gehen
david,David
dor,Schmerzen
joe,joe
dessa,davon
presente,Geschenk
carta,Brief
governo,Regierung
barco,Boot
loja,Geschäft
energia,Energie
pra,zum
vítima,Opfer
roupa,Kleidung
voz,Stimme
trouxe,gebracht
luta,Kampf
câmara,Kammer
disse-me,Er sagte mir
fome,Hunger
professor,Lehrer
estúpido,Blöd
mamã,Mama
mostrar,Show
hipótese,Hypothese
telemóvel,Telefon
reunião,Treffen
prova,Beweis
s,s
percebi,mir ist aufgefallen
casar,heiraten
general,Allgemeines
peter,Peter
volto,zurück
trazer,bringen
olho,Auge
chamado,namens
conseguiu,bekam
exército,Heer
através,durch
lei,Recht
digas,sagen
banco,Bank
naquela,dabei
deixe,verlassen
nesse,dass
disseram,Sie sagten
conseguimos,wir können
segunda,Montag
tempos,Zeit
podias,Du könntest
tocar,berühren
mês,Monat
tiro,Schuss
fbi,fbi
soube,ich wusste
tenhas,Sie haben
quantos,wie viele
creio,Ich denke
george,George
papel,Papier-
sonho,Traum
ver-te,wir sehen uns
desse,von diesem
tínhamos,Wir hatten
bar,Kneipe
povo,Menschen
tentei,Ich habe es versucht
eras,Ewigkeit
fizemos,Wir machten
cena,Szene
tenente,Leutnant
centro,Center
tivemos,wir hatten
conversar,sich unterhalten
teres,Ester
nao,Nein
vê-lo,sehe ihn
proteger,schützen
diabo,Teufel
parabéns,Herzliche Glückwünsche
bebida,Getränk
aposto,Wette
base,Base
tradução,Übersetzung
sinto-me,ich fühle
esperem,erwarten von
excelente,groß
comandante,Kommandant
voltou,kam zurück
namorada,Freundin
precisam,brauchen
sabias,wusste
empresa,Unternehmen
resolver,lösen
metade,halb
impossível,unmöglich
lembro,Ich erinnere mich
desapareceu,verschwundenen
interessante,interessant
acerca,Über
segundos,die 2
cair,fallen
engraçado,lustig
bela,wunderschönen
mentir,Lügen
costas,zurück
chave,Schlüssel
divertido,lustig
ouviste,gehört
juro,schwören
escrever,schreiben
piada,Scherz
oito,acht
levou,es dauerte
passada,letzte
guarda,bewachen
controlo,Steuerung
daí,so
apartamento,Wohnung
segredo,Geheimnis
decisão,Entscheidung
funciona,Es klappt
posição,Position
surpresa,Überraschung
parecia,Es schaute
cerca,Über
céu,Himmel
negócios,Unternehmen
cabo,Kabel
receber,bekommen
motivo,Grund
imediatamente,sofort
olhem,aussehen
vidas,Leben
passo,Schritt
tribunal,Gericht
max,max
contacto,Kontakt
começa,beginnt
ora,jetzt
ótimo,groß
bolas,Bälle
trabalha,Werk
tenham,haben
inferno,Hölle
estrada,Straße
delas,von ihnen
falei,Ich sprach
diria,würde sagen
cheio,voll
companhia,Unternehmen
ouça,Hör mal zu
